Unnamed: 0,MOVIE NAME,RATING,VOTING COUNT,DURATION,GENRE
0,Kraven the Hunter,5.5,53000,127,Action
1,Sonic the Hedgehog 3,6.9,58000,110,Action
2,Gladiator II,6.5,227000,148,Action
3,Twisters,6.5,166000,122,Action
4,Freaky Tales,7.2,1100,107,Action
5,Deadpool & Wolverine,7.6,489000,128,Action
6,The Crow,4.7,34000,111,Action
7,Dune: Part Two,8.5,623000,166,Action
8,The Ministry of Ungentlemanly Warfare,6.8,134000,122,Action
9,Venom: The Last Dance,6.0,116000,110,Action
10,Pushpa: The Rule - Part 2,6.1,56000,201,Action
11,Civil War,7.0,236000,109,Action
12,Furiosa: A Mad Max Saga,7.5,284000,148,Action
13,Carry-On,6.5,164000,119,Action
14,The Beekeeper,6.3,156000,105,Action
15,Fight or Flight,6.4,6400,97,Action
16,Borderlands,4.7,48000,101,Action
17,The Count of Monte-Cristo,7.6,34000,178,Action
18,The Fall Guy,6.8,220000,126,Action
19,Transformers One,7.6,50000,104,Action
20,Road House,6.2,167000,121,Action
21,Solo Leveling: ReAwakening,8.7,12000,121,Action
22,The Lord of the Rings: The War of the Rohirrim,6.3,30000,134,Action
23,Rebel Ridge,6.8,88000,131,Action
24,Elevation,5.6,21000,91,Action
25,Love Lies Bleeding,6.6,57000,104,Action
26,Classified,3.7,2500,105,Action
27,William Tell,5.7,2400,133,Action
28,Madame Web,4.0,100000,116,Action
29,Bad Boys: Ride or Die,6.5,100000,115,Action
30,Argylle,5.6,92000,139,Action
31,Red One,6.3,139000,123,Action
32,Godzilla x Kong: The New Empire,6.0,121000,115,Action
33,Damsel,6.1,109000,110,Action
34,Kingdom of the Planet of the Apes,6.9,151000,145,Action
35,Hellboy: The Crooked Man,4.5,13000,99,Action
36,Land of Bad,6.6,51000,113,Action
37,Survive,4.6,2400,90,Action
38,Gunner,3.2,2600,106,Action
39,The Union,5.4,53000,107,Action
40,Kung Fu Panda 4,6.3,68000,94,Action
41,Werewolves,4.4,6500,93,Action
42,Monkey Man,6.8,91000,121,Action
43,Uglies,4.7,33000,100,Action
44,Aftermath,5.1,3900,97,Action
45,The Killer's Game,5.8,17000,104,Action
46,Homestead,5.3,3500,112,Action
47,The Killer,5.7,13000,126,Action
48,Arcadian,5.5,23000,92,Action
49,Toofan,7.4,7800,145,Action
50,Dirty Angels,4.3,3400,104,Action
51,Old Guy,5.2,2300,94,Action
52,Beverly Hills Cop: Axel F,6.4,81000,118,Action
53,Thelma,7.0,22000,98,Action
54,Lift,5.5,49000,107,Action
55,Blitz,6.2,16000,120,Action
56,Absolution,5.2,7900,112,Action
57,The Instigators,6.2,37000,101,Action
58,Maharaja,8.4,67000,141,Action
59,Attack on Titan the Movie: The Last Attack,9.2,15000,145,Action
60,Drive-Away Dolls,5.4,23000,84,Action
61,Marco,6.8,21000,145,Action
62,Azrael,5.4,11000,86,Action
63,Atlas,5.6,56000,118,Action
64,Descendants: The Rise of Red,4.7,7000,91,Action
65,Karma,8.0,1400,167,Action
66,Apocalypse Z: The Beginning of the End,6.1,20000,117,Action
67,Canary Black,5.3,11000,101,Action
68,The Prosecutor,6.7,1900,117,Action
69,Under Paris,5.2,36000,104,Action
70,Kalki 2898-AD,7.0,66000,180,Action
71,Cash Out,4.8,2900,92,Action
72,Armor,3.6,3800,89,Action
73,Twilight of the Warriors: Walled In,7.0,9400,126,Action
74,Brothers,5.4,13000,89,Action
75,Long Gone Heroes,5.2,1100,101,Action
76,Watchmen: Chapter I,7.0,6500,83,Action
77,Rebel Moon - Part Two: The Scargiver,5.3,59000,122,Action
78,The Silent Hour,6.1,7400,99,Action
79,One More Shot,5.4,3700,103,Action
80,Trigger Warning,4.6,19000,106,Action
81,The Shadow Strays,6.5,9100,144,Action
